"genes","isoforms"
"AT5G65060","AT5G65060_s2"
"AT5G66250","AT5G66250_ID1"
"AT5G66250","AT5G66250_ID2"
"AT5G66250","AT5G66250_P2"
"AT5G67140","AT5G67140_ID1"
"AT5G67140","AT5G67140_ID3"
"AT5G67140","AT5G67140_ID4"
"AT5G67140","AT5G67140_P1"
"AT5G67540","AT5G67540_P1"
"AT5G67540","AT5G67540_P2"
