"Targets","T9_biorep1_techrep1","T9_biorep1_techrep2","T9_biorep1_techrep3","T9_biorep2_techrep1","T9_biorep2_techrep2","T9_biorep2_techrep3","T9_biorep3_techrep1","T9_biorep3_techrep2","T9_biorep3_techrep3","T10_biorep1_techrep1","T10_biorep1_techrep2","T10_biorep1_techrep3","T10_biorep2_techrep1","T10_biorep2_techrep2","T10_biorep2_techrep3","T10_biorep3_techrep1","T10_biorep3_techrep2","T10_biorep3_techrep3"
"AT1G22400_P1",4.18162,4.42894,4.19812,5.09682,4.4755,4.90492,3.24228,2.86688,2.59584,11.2308,14.038,12.7556,27.0681,30.2034,26.8175,28.1547,28.0453,25.1206
"AT1G22403.1",1.70951,3.87575,5.61018,2.69575,4.8097,2.98548,3.37913,3.77088,3.6507,4.03524,2.80999,5.58692,3.56059,1.8066,2.36511,4.54974,5.16158,3.00616
"AT1G22403.2",5.8702,4.90249,3.58927,4.3843,3.87504,3.44811,3.28059,2.2905,2.65062,8.40594,10.0887,9.17216,6.62334,8.08035,5.97181,5.86164,6.94924,8.72557
"AT1G22490_JS1",0.489944,0,0.458271,0.814727,0.341429,0.914824,0.626877,0.496139,1.22472,0.34165,0.404079,0.715765,0.26467,0.411992,0.0801906,0.192801,0.474273,0.269933
"AT1G22490_P1",3.57617,3.7421,3.45783,4.12602,5.07502,4.69762,4.62016,4.5425,3.99509,1.68402,2.12589,1.55919,1.78866,1.24501,2.05001,2.1139,2.81847,1.82076
"AT1G22490_P2",0.774011,1.17927,0.59307,1.00283,0.678401,0.933136,0.854745,1.54936,0.783905,0.35924,0.251298,0.501269,0.311214,0.421076,0.359261,0.367203,0.460794,0.808381
"AT1G22570_ID2",0.337437,0.702174,0.505839,0.298594,0.267736,0.516501,0.437188,0,0,4.53055,2.76729,3.41998,4.06544,2.29908,3.00901,4.37223,6.67371,3.98141
"AT1G22570_P1",2.90334,2.40192,3.04779,3.32867,2.93594,2.46033,3.10278,2.90174,2.94222,17.9016,18.4823,20.3468,39.3789,41.5219,41.5008,45.049,44.9295,49.8417
"AT1G22690.2",2.35719,7.64119,1.62619,2.53642,0.0583857,3.61811,0.0119122,1.38285,0,26.1806,16.4518,19.7647,34.3336,23.8978,36.1308,35.6583,37.7473,41.2476
"AT1G22690_P1",7.23711,2.65941,9.29017,1.12329,3.35586,0.996841,4.35376,3.49078,5.19664,21.854,29.769,29.6075,48.9483,59.621,45.3296,79.0981,72.9448,71.8858
"AT1G22740.1",13.2392,10.8848,8.74987,7.31131,8.86823,5.23227,10.259,10.466,8.53153,30.9822,27.1452,35.2184,39.3394,38.1603,38.9638,41.015,35.6951,37.2913
"AT1G22740_ID3",1.04025,2.9351,1.6566,1.06744,0.326203,1.46509,0.993708,0,0.299737,13.7948,10.7586,11.3752,3.57386,5.33295,3.04759,2.96185,2.42462,5.29434
"AT1G22740_ID5",2.41449,1.93497,2.01412,2.01358,1.5749,1.88752,1.70206,1.28204,1.10416,8.42834,9.80572,10.5683,3.43874,3.54765,3.38313,2.92497,3.61774,4.90548
"AT1G22750.2",10.1795,10.7622,10.7475,9.31811,9.22489,10.3206,9.4163,7.05271,8.95752,7.57159,11.7536,6.79529,10.6157,8.14907,6.20514,8.66489,11.1232,9.53337
